Protein Name,String 1,String 2,String 3
VFG002500(gb|WP_004556525) (fliH) flagellar assembly protein H [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004556525,fliH,VF0430
VFG002501(gb|WP_004197167) (fliG) flagellar motor switch protein G [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004197167,fliG,VF0430
VFG002502(gb|WP_004523066) (fliF) flagellar M-ring protein FliF [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004523066,fliF,VF0430
VFG002503(gb|WP_004534368) (fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004534368,fliE,VF0430
VFG002504(gb|WP_004203429) (fliS) flagellar protein FliS [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004203429,fliS,VF0430
VFG002505(gb|WP_162486660) (flgN) flagella synthesis protein FlgN [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_162486660,flgN,VF0430
VFG002506(gb|WP_004200257) (flgM) negative regulator of flagellin synthesis [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004200257,flgM,VF0430
VFG002507(gb|WP_004534277) (flgA) flagellar basal body P-ring biosynthesis protein FlgA [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004534277,flgA,VF0430
VFG002508(gb|WP_004525899) (flgB) flagellar basal-body rod protein FlgB [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004525899,flgB,VF0430
VFG002509(gb|WP_004197251) (flgC) flagellar basal body rod protein FlgC [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004197251,flgC,VF0430
VFG002510(gb|WP_011204781) (flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_011204781,flgD,VF0430
VFG002511(gb|WP_004197255) (flgE) flagellar hook protein FlgE [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004197255,flgE,VF0430
VFG002512(gb|WP_004185014) (flgF) flagellar basal body rod protein FlgF [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004185014,flgF,VF0430
VFG002513(gb|WP_004197257) (flgG) flagellar basal body rod protein FlgG [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004197257,flgG,VF0430
VFG002514(gb|WP_004523041) (flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004523041,flgH,VF0430
VFG002515(gb|WP_004550967) (flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004550967,flgI,VF0430
VFG002516(gb|WP_004197262) (flgJ) flagellar rod assembly protein/muramidase FlgJ [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004197262,flgJ,VF0430
VFG002517(gb|WP_004203463) (flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004203463,flgK,VF0430
VFG002518(gb|WP_004200262) (flgL) flagellar hook-associated protein 3 FlgL [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004200262,flgL,VF0430
VFG002519(gb|WP_004198636) (fliA) flagellar biosynthesis sigma factor [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198636,fliA,VF0430
VFG002520(gb|WP_004198637) (flhG) flagellar biosynthesis protein FlhG [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198637,flhG,VF0430
VFG002521(gb|WP_004525693) (flhF) flagellar biosynthesis regulator FlhF [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004525693,flhF,VF0430
VFG002522(gb|WP_004198639) (flhA) flagellar biosynthesis protein FlhA [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198639,flhA,VF0430
VFG002523(gb|WP_004198640) (flhB) flagellar biosynthesis protein FlhB [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198640,flhB,VF0430
VFG002524(gb|WP_004524402) (cheZ) chemotaxis regulator CheZ [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004524402,cheZ,VF0430
VFG002525(gb|WP_004185006) (cheY) chemotaxis protein CheY [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004185006,cheY,VF0430
VFG002526(gb|WP_004198645) (cheB) chemotaxis-specific methylesterase [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198645,cheB,VF0430
VFG002527(gb|WP_004524404) (cheD) chemoreceptor glutamine deamidase CheD [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004524404,cheD,VF0430
VFG002528(gb|WP_004525698) (cheR) chemotaxis protein methyltransferase [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004525698,cheR,VF0430
VFG002529(gb|WP_011205290) (tsr) methyl-accepting chemotaxis protein I [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_011205290,tsr,VF0430
VFG002530(gb|WP_004199265) (cheW) chemotaxis protein CheW [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004199265,cheW,VF0430
VFG002531(gb|WP_011205291) (cheA) chemotaxis two-component sensor kinase CheA [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_011205291,cheA,VF0430
VFG002532(gb|WP_004198195) (cheY1) chemotaxis two-component response regulator CheY1 [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198195,cheY1,VF0430
VFG002533(gb|WP_009938926) (motB) flagellar motor protein MotB [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_009938926,motB,VF0430
VFG002534(gb|WP_004198197) (motA) flagellar motor protein MotA [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198197,motA,VF0430
VFG002535(gb|WP_004198207) (fliC) flagellin [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004198207,fliC,VF0430
VFG002536(gb|WP_004530401) (fliD) flagellar capping protein FliD [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],gb|WP_004530401,fliD,VF0430
VFG002537(gb|WP_004523992) (pmlI/bspI1) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004523992,pmlI/bspI1,VF0433
VFG002538(gb|WP_004184923) (pmlR/bspR1) N-acylhomoserine lactone dependent regulatory protein [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004184923,pmlR/bspR1,VF0433
VFG002539(gb|WP_004528416) (bspI2) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004528416,bspI2,VF0433
VFG002540(gb|WP_004558040) (bspR2) N-acyl-homoserine lactone dependent regulatory protein [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004558040,bspR2,VF0433
VFG002541(gb|WP_004528852) (bspI3) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004528852,bspI3,VF0433
VFG002542(gb|WP_004188690) (bspR3) N-acylhomoserine lactone-dependent regulatory protein [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004188690,bspR3,VF0433
VFG002543(gb|WP_011205386) (bspR4) LuxR family transcriptional regulator [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_011205386,bspR4,VF0433
VFG002544(gb|WP_004532123) (bspR5) autoinducer binding domain-containing protein [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],gb|WP_004532123,bspR5,VF0433
VFG002545(gb|WP_004194345) (BPSL2786) acetyltransferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194345,BPSL2786,VF0436
VFG002546(gb|WP_004194209) (wcbT) acyl-CoA transferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194209,wcbT,VF0436
VFG002547(gb|WP_004527661) (wcbS) UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004527661,wcbS,VF0436
VFG002548(gb|WP_004550042) (wcbR) capsular polysaccharide biosynthesis fatty acid synthase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004550042,wcbR,VF0436
VFG002549(gb|WP_004527663) (wcbQ) capsular polysaccharide biosynthesis transmembrane protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004527663,wcbQ,VF0436
VFG002550(gb|WP_009938563) (wcbP) capsular polysaccharide biosynthesis dehydrogenase/reductase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_009938563,wcbP,VF0436
VFG002551(gb|WP_004522170) (wcbO) capsule polysaccharide biosynthesis/export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004522170,wcbO,VF0436
"VFG002552(gb|WP_004194255) (wcbN) D-glycero-d-manno-heptose 1,7-bisphosphate phosphatase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243]",gb|WP_004194255,wcbN,VF0436
VFG002553(gb|WP_004194086) (wcbM) D-glycero-d-manno-heptose 1-phosphate guanosyltransferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194086,wcbM,VF0436
VFG002554(gb|WP_011205222) (gmhA) phosphoheptose isomerase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_011205222,gmhA,VF0436
VFG002555(gb|WP_004194045) (wcbL) sugar kinase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194045,wcbL,VF0436
VFG002556(gb|WP_004194087) (wcbK) GDP sugar epimerase/dehydratase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194087,wcbK,VF0436
VFG002557(gb|WP_004194206) (wcbJ) capsular polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194206,wcbJ,VF0436
VFG002558(gb|WP_004550035) (wcbI) capsular polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004550035,wcbI,VF0436
VFG002559(gb|WP_004194348) (wcbH) glycosyl transferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194348,wcbH,VF0436
VFG002560(gb|WP_004546402) (wcbG) capsular polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004546402,wcbG,VF0436
VFG002561(gb|WP_004550031) (wcbF) capsule polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004550031,wcbF,VF0436
VFG002562(gb|WP_004522161) (wcbE) glycosyltransferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004522161,wcbE,VF0436
VFG002563(gb|WP_004194035) (wzt2) ATP-binding ABC transporter capsular polysaccharide export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194035,wzt2,VF0436
VFG002564(gb|WP_004194135) (wzm) capsular polysaccharide export ABC transporter transmembrane protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194135,wzm,VF0436
VFG002565(gb|WP_004196469) (wcbD) capsule polysaccharide export ABC transporter transmembrane protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004196469,wcbD,VF0436
VFG002566(gb|WP_004194378) (wcbC) capsular polysaccharide biosynthesis/export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004194378,wcbC,VF0436
VFG002567(gb|WP_009938575) (wcbB) capsular polysaccharide glycosyltransferase biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_009938575,wcbB,VF0436
VFG002568(gb|WP_011205226) (wcbA) capsule polysaccharide export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_011205226,wcbA,VF0436
VFG002569(gb|WP_004522157) (manC) GDP-mannose pyrophosphorylase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],gb|WP_004522157,manC,VF0436
VFG041118(gb|WP_045606108) (tssA-5) Type VI secretion system protein TssA [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],gb|WP_045606108,tssA-5,VF0429
VFG041119(gb|WP_004528788) (BPS_RS26875) response regulator VirG [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],gb|WP_004528788,BPS_RS26875,VF0429
VFG041120(gb|WP_011205628) (BPS_RS26880) sensor histidine kinase VirA [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],gb|WP_011205628,BPS_RS26880,VF0429
"VFG041780(gb|WP_009934508) (chbp) Type III secretion system secreted effector CHBP, cyclomodulin Cif homolg [Bsa T3SS secreted effectors (VF0710) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243]",gb|WP_009934508,chbp,VF0710
VFG042964(gb|WP_004188293) (pilM) type IV pilus inner membrane platform protein PilM [Type IV pili (VF0431) - Adherence (VFC0001)] [Burkholderia pseudomallei K96243],gb|WP_004188293,pilM,VF0431
VFG042965(gb|WP_004188396) (pilP) type IV pilus biogenesis protein PilP [Type IV pili (VF0431) - Adherence (VFC0001)] [Burkholderia pseudomallei K96243],gb|WP_004188396,pilP,VF0431
VFG042966(gb|WP_004536546) (pilL) type IV pilus biosynthesis protein PilL [Type IV pili (VF0431) - Adherence (VFC0001)] [Burkholderia pseudomallei K96243],gb|WP_004536546,pilL,VF0431
VFG045467(gb|WP_011204972) (cdpA) cyclic di-GMP phosphodiesterase [CdpA (VF0432) - Regulation (VFC0301)] [Burkholderia pseudomallei K96243],gb|WP_011204972,cdpA,VF0432
VFG001890(gb|YP_002343513) (flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343513,flgD,VF0114
VFG001891(gb|YP_002343514) (flgE) flagellar hook protein FlgE [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343514,flgE,VF0114
VFG001892(gb|YP_002343523) (fliY) flagellar motor switch protein FliY [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343523,fliY,VF0114
VFG001893(gb|YP_002343524) (fliM) flagellar motor switch protein FliM [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343524,fliM,VF0114
VFG001894(gb|YP_002343525) (fliA) flagellar biosynthesis sigma factor [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343525,fliA,VF0114
VFG001895(gb|YP_002343528) (flhF) flagellar biosynthesis regulator FlhF [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343528,flhF,VF0114
VFG001896(gb|YP_002343653) (fliI) flagellum-specific ATP synthase FliI [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343653,fliI,VF0114
VFG001897(gb|YP_002343756) (fliF) flagellar M-ring protein FliF [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343756,fliF,VF0114
VFG001898(gb|YP_002343757) (fliG) flagellar motor switch protein G [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343757,fliG,VF0114
VFG001899(gb|YP_002343758) (fliH) flagellar assembly protein H [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343758,fliH,VF0114
VFG001900(gb|YP_002343773) (flhB) flagellar biosynthetic protein [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343773,flhB,VF0114
VFG001901(gb|YP_002343774) (motB) flagellar motor protein MotB [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343774,motB,VF0114
VFG001902(gb|YP_002343775) (motA) flagellar motor protein MotA [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343775,motA,VF0114
VFG001903(gb|YP_002343789) (fliN) flagellar motor switch protein FliN [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343789,fliN,VF0114
VFG001904(gb|YP_002343808) (Cj0371) hypothetical protein [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343808,Cj0371,VF0114
VFG001905(gb|YP_002343957) (fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343957,fliE,VF0114
VFG001906(gb|YP_002343958) (flgC) flagellar basal body rod protein FlgC [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343958,flgC,VF0114
VFG001907(gb|YP_002343959) (flgB) flagellar basal body rod protein FlgB [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343959,flgB,VF0114
VFG001908(gb|YP_002343978) (flaG) a negative regulator of flagellar assembly [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343978,flaG,VF0114
VFG001909(gb|YP_002343979) (fliD) flagellar capping protein FliD [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343979,fliD,VF0114
VFG001910(gb|YP_002343980) (fliS) flagellar protein FliS [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343980,fliS,VF0114
VFG001911(gb|YP_002344105) (flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344105,flgH,VF0114
VFG001912(gb|YP_002344115) (flgG2) flagellar basal-body rod protein [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344115,flgG2,VF0114
VFG001913(gb|YP_002344116) (flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344116,flgG,VF0114
VFG001914(gb|YP_002344138) (flaC) a secreted effector flagellin [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344138,flaC,VF0114
VFG001915(gb|YP_002344227) (fliP) flagellar biosynthesis protein FliP [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344227,fliP,VF0114
VFG001916(gb|YP_002344282) (flhA) flagellar biosynthesis protein FlhA [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344282,flhA,VF0114
VFG001917(gb|YP_002344286) (flgL) flagellar hook-associated protein FlgL [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344286,flgL,VF0114
VFG001918(gb|YP_002344570) (fliR) flagellar biosynthetic protein FliR [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344570,fliR,VF0114
"VFG001919(gb|YP_002344702) (pseG) UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]",gb|YP_002344702,pseG,VF0114
VFG001920(gb|YP_002344703) (pseH) N-acetyltransferase [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344703,pseH,VF0114
VFG001921(gb|YP_002344720) (ptmB) acylneuraminate cytidylyltransferase [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344720,ptmB,VF0114
VFG001922(gb|YP_002344721) (ptmA) flagellin modification protein A [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344721,ptmA,VF0114
VFG001923(gb|YP_002344726) (flaB) flagellin [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344726,flaB,VF0114
VFG001924(gb|YP_002344727) (flaA) flagellin [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344727,flaA,VF0114
VFG001925(gb|YP_002344791) (fliL) flagellar basal body protein FliL [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344791,fliL,VF0114
VFG001926(gb|YP_002344844) (flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344844,flgI,VF0114
VFG001927(gb|YP_002344848) (flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344848,flgK,VF0114
VFG001928(gb|YP_002344934) (pflA) paralysed flagellum protein [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344934,pflA,VF0114
VFG001929(gb|YP_002345043) (fliQ) flagellar biosynthesis protein FliQ [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002345043,fliQ,VF0114
VFG001930(gb|YP_002345095) (flgE2) flagellar hook protein [Flagella (VF0114) - Motility (VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002345095,flgE2,VF0114
VFG001931(gb|YP_002344858) (cadF) outer membrane fibronectin-binding protein [CadF (VF0322) - Adherence (VFC0001)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344858,cadF,VF0322
VFG001932(gb|YP_002343539) (cdtC) cytolethal distending toxin C [CDT (VF0115) - Exotoxin (VFC0235)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343539,cdtC,VF0115
VFG001933(gb|YP_002343540) (cdtB) cytolethal distending toxin B [CDT (VF0115) - Exotoxin (VFC0235)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343540,cdtB,VF0115
VFG001934(gb|YP_002343541) (cdtA) cytolethal distending toxin A [CDT (VF0115) - Exotoxin (VFC0235)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002343541,cdtA,VF0115
VFG001935(gb|YP_002344312) (ciaB) invasion antigen CiaB [CiaB (VF0324) - Invasion (VFC0083)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344312,ciaB,VF0324
VFG001936(gb|YP_002344528) (Cj1135) glucosyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344528,Cj1135,VF0326
VFG001937(gb|YP_002344529) (Cj1136) glycosyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344529,Cj1136,VF0326
VFG001938(gb|YP_002344530) (Cj1137c) glycosyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344530,Cj1137c,VF0326
VFG001939(gb|YP_002344531) (Cj1138) glycosyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344531,Cj1138,VF0326
"VFG001940(gb|YP_002344532) (wlaN) beta-1,3 galactosyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168]",gb|YP_002344532,wlaN,VF0326
"VFG001941(gb|YP_002344533) (cstIII) alpha-2,3 sialyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168]",gb|YP_002344533,cstIII,VF0326
VFG001942(gb|YP_002344534) (neuB1) sialic acid synthase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344534,neuB1,VF0326
VFG001943(gb|YP_002344535) (neuC1) UDP-N-acetylglucosamine 2-epimerase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344535,neuC1,VF0326
"VFG001944(gb|YP_002344536) (neuA1) bifunctional beta-1,4-N-acetylgalactosaminyltransferase/CMP-Neu5Ac synthase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168]",gb|YP_002344536,neuA1,VF0326
VFG001945(gb|YP_002344537) (Cj1145c) hypothetical protein [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344537,Cj1145c,VF0326
VFG001947(gb|YP_002344538) (waaV) glucosyltransferase [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344538,waaV,VF0326
VFG001948(gb|YP_002344539) (waaF) heptosyltransferase II [LOS (VF0326) - Immune modulation (VFC0258)] [Campylobacter jejuni subsp. jejuni NCTC 11168],gb|YP_002344539,waaF,VF0326
